[a, b] = [0, 2]
h = 0.001 
 
  n            x1            v1            x2            v2
293      1.145819     -0.353224     -0.220936     -0.676487
294      1.145465     -0.354225     -0.221612     -0.675732
295      1.145110     -0.355225     -0.222287     -0.674975
296      1.144754     -0.356223     -0.222962     -0.674216
297      1.144398     -0.357220     -0.223635     -0.673456
298      1.144040     -0.358215     -0.224309     -0.672694
299      1.143681     -0.359208     -0.224981     -0.671931
300      1.143322     -0.360200     -0.225652     -0.671166
301      1.142961     -0.361190     -0.226323     -0.670399
302      1.142599     -0.362179     -0.226993     -0.669630
303      1.142236     -0.363167     -0.227662     -0.668860
304      1.141873     -0.364152     -0.228331     -0.668088
305      1.141508     -0.365136     -0.228999     -0.667315
306      1.141143     -0.366119     -0.229666     -0.666539
307      1.140776     -0.367100     -0.230332     -0.665762
308      1.140408     -0.368080     -0.230997     -0.664984
309      1.140040     -0.369058     -0.231662     -0.664204
310      1.139670     -0.370034     -0.232326     -0.663422
311      1.139300     -0.371009     -0.232989     -0.662638
312      1.138928     -0.371982     -0.233651     -0.661853
313      1.138556     -0.372954     -0.234312     -0.661066
314      1.138182     -0.373924     -0.234973     -0.660278
315      1.137808     -0.374893     -0.235633     -0.659488
316      1.137433     -0.375860     -0.236292     -0.658696
317      1.137056     -0.376825     -0.236950     -0.657903
318      1.136679     -0.377789     -0.237608     -0.657108
319      1.136301     -0.378752     -0.238264     -0.656311
320      1.135921     -0.379713     -0.238920     -0.655513
321      1.135541     -0.380672     -0.239575     -0.654713
322      1.135160     -0.381630     -0.240230     -0.653912
323      1.134778     -0.382586     -0.240883     -0.653109
324      1.134395     -0.383541     -0.241536     -0.652304
325      1.134011     -0.384494     -0.242188     -0.651498
326      1.133626     -0.385446     -0.242839     -0.650690
327      1.133240     -0.386396     -0.243489     -0.649881
328      1.132853     -0.387345     -0.244139     -0.649070
329      1.132465     -0.388292     -0.244787     -0.648257
330      1.132076     -0.389237     -0.245435     -0.647443
331      1.131687     -0.390181     -0.246082     -0.646627
332      1.131296     -0.391123     -0.246728     -0.645810
333      1.130905     -0.392064     -0.247374     -0.644991
334      1.130512     -0.393004     -0.248018     -0.644170
335      1.130119     -0.393941     -0.248662     -0.643348
336      1.129724     -0.394878     -0.249305     -0.642524
337      1.129329     -0.395813     -0.249947     -0.641699
338      1.128932     -0.396746     -0.250589     -0.640872
339      1.128535     -0.397677     -0.251229     -0.640044
340      1.128137     -0.398608     -0.251869     -0.639214
